study_id,variable,pass_1_label,pass_2_label,consensus_label,final_label_alignment,pass_1_confidence,pass_2_confidence,pass_1_evidence_pages,pass_2_evidence_pages
S001,T4,1,0,1,matches_pass_1_only,medium,medium,11,
S004,T3,0,1,1,matches_pass_2_only,medium,medium,,2
S008,T3,1,0,1,matches_pass_1_only,medium,medium,7;9,
S008,T4,1,0,1,matches_pass_1_only,medium,medium,7;9,
S012,primary_tier,CORE,ANCHORED,CORE,matches_pass_1_only,medium,medium,3,2
S012,T2,1,0,1,matches_pass_1_only,medium,medium,3,
S012,T3,1,0,1,matches_pass_1_only,medium,medium,3;4,
S014,primary_tier,ANCHORED,WEAKER,WEAKER,matches_pass_2_only,medium,medium,2,12
S015,primary_tier,ANCHORED,CORE,CORE,matches_pass_2_only,medium,medium,1,2
S016,T2,0,1,1,matches_pass_2_only,medium,high,,4
S022,primary_tier,ANCHORED,CORE,CORE,matches_pass_2_only,medium,medium,3,1
S022,T2,0,1,1,matches_pass_2_only,medium,medium,,8
S022,T4,1,0,0,matches_pass_2_only,medium,medium,7,
S023,primary_tier,INTERFACE,ANCHORED,INTERFACE,matches_pass_1_only,medium,medium,7,7
S025,T2,1,0,1,matches_pass_1_only,medium,medium,11;12,
S027,T3,1,0,0,matches_pass_2_only,high,medium,8;12,
S028,T3,1,0,0,matches_pass_2_only,medium,medium,4,
S029,T4,1,0,0,matches_pass_2_only,medium,medium,2,
S033,primary_tier,CORE,ANCHORED,ANCHORED,matches_pass_2_only,medium,high,2,1
S035,primary_tier,ANCHORED,CORE,ANCHORED,matches_pass_1_only,high,medium,8,29
S035,T2,0,1,0,matches_pass_1_only,medium,high,,29
S037,primary_tier,CORE,ANCHORED,CORE,matches_pass_1_only,medium,medium,1,16
S037,T2,1,0,1,matches_pass_1_only,medium,medium,16,
S037,T3,1,0,1,matches_pass_1_only,medium,medium,16,
S037,T4,1,0,1,matches_pass_1_only,medium,medium,16,
S041,T2,0,1,1,matches_pass_2_only,medium,high,,13
S041,T3,1,0,0,matches_pass_2_only,high,high,4;13,
S042,T2,1,0,0,matches_pass_2_only,medium,medium,7,
S047,T4,1,0,0,matches_pass_2_only,medium,medium,4,
S049,T2,1,0,1,matches_pass_1_only,medium,medium,5,
S050,primary_tier,CONSTRUCTION,ANCHORED,CONSTRUCTION,matches_pass_1_only,medium,high,1,1
S055,primary_tier,CORE,CONSTRUCTION,CONSTRUCTION,matches_pass_2_only,medium,high,6,3
S056,primary_tier,ANCHORED,CORE,CORE,matches_pass_2_only,medium,medium,2,2
S057,T2,1,0,1,matches_pass_1_only,medium,medium,12,
S057,T3,1,0,0,matches_pass_2_only,medium,high,14;23,
S059,primary_tier,CORE,CONSTRUCTION,CONSTRUCTION,matches_pass_2_only,medium,medium,5,14
S060,T2,1,0,0,matches_pass_2_only,medium,medium,2;4,
S070,primary_tier,CORE,ANCHORED,ANCHORED,matches_pass_2_only,medium,medium,1,1
S070,T2,1,0,0,matches_pass_2_only,medium,medium,3,
S071,T2,1,0,0,matches_pass_2_only,medium,medium,1,
S072,primary_tier,CORE,CONSTRUCTION,CONSTRUCTION,matches_pass_2_only,medium,high,2,2
S072,T2,1,0,0,matches_pass_2_only,medium,medium,1;5,
S075,T2,1,0,0,matches_pass_2_only,medium,medium,2,
S076,T2,1,0,0,matches_pass_2_only,medium,medium,13,
S079,T2,1,0,0,matches_pass_2_only,medium,medium,2;3,
S080,primary_tier,ANCHORED,CORE,CORE,matches_pass_2_only,medium,high,2,6
S080,T2,0,1,1,matches_pass_2_only,medium,high,,17
S082,T4,0,1,1,matches_pass_2_only,medium,high,,4
S083,T4,1,0,0,matches_pass_2_only,medium,medium,15;28,
S084,T2,0,1,1,matches_pass_2_only,medium,high,,10
S086,primary_tier,CORE,CONSTRUCTION,CORE,matches_pass_1_only,high,high,1,3
S086,T2,1,0,1,matches_pass_1_only,medium,medium,7,
S086,T3,1,0,1,matches_pass_1_only,medium,medium,23;25,
S089,T2,1,0,0,matches_pass_2_only,medium,medium,1;8,
S092,T2,1,0,1,matches_pass_1_only,medium,medium,10,
S093,T3,1,0,0,matches_pass_2_only,high,medium,8,
S094,T4,1,0,0,matches_pass_2_only,medium,medium,14,
S095,T2,0,1,1,matches_pass_2_only,medium,medium,,18
S098,T2,0,1,0,matches_pass_1_only,medium,high,,11
S099,primary_tier,ANCHORED,CORE,CORE,matches_pass_2_only,medium,high,6,6
S102,T3,0,1,1,matches_pass_2_only,medium,high,,6
S102,T4,0,1,1,matches_pass_2_only,medium,high,,7
S103,T4,0,1,1,matches_pass_2_only,medium,high,,6
S104,T3,0,1,1,matches_pass_2_only,medium,medium,,9
S105,T2,1,0,1,matches_pass_1_only,medium,medium,1;4,
S105,T3,1,0,1,matches_pass_1_only,medium,medium,6;7,
S108,T2,1,0,1,matches_pass_1_only,medium,medium,4,
S111,T3,1,0,0,matches_pass_2_only,high,medium,3,
S111,T4,1,0,1,matches_pass_1_only,high,medium,9;10,
