study_id,public_record_file,public_record_sha256,public_record_bytes,original_frozen_record_file,original_frozen_record_sha256,original_frozen_record_bytes,source_pdf_file_label,source_pdf_sha256,source_pdf_page_count
S001,S001__neural-symbolic-fusion-for-long-form-narrative-generation-a-hierarchical-framework.json,ec1fc293d282966ca34542d405753ddde1780eb37ad61c6dc07ab22956751e1e,7284,S001__neural-symbolic-fusion-for-long-form-narrative-generation-a-hierarchical-framework.json,3dad3437399162679e2e6ac6d12e03f820557fc5cdbf260ec5f60bd54dd49bbb,6363,2025 - Neural-symbolic fusion for long-form narrative generation a hierarchical framework.pdf,729ed07beab4c8d4256159bd6bdad0ecd60fb2ff62870611884dd5da4d2a2c92,23
S002,S002__slms-meet-graphrag-a-structured-approach-to-context-aware-cybersecurity-hint-generation.json,b75108179ab1f3bfd9bba8ea6a100591ebc476183fd6e023a957978f29f2f624,5969,S002__slms-meet-graphrag-a-structured-approach-to-context-aware-cybersecurity-hint-generation.json,abafdef3ba84bbbe4d3bd53924f5d6c88b379b3d4ca03ad7eb926f59c68644b6,5191,Abraham et al. - 2026 - SLMs meet GraphRAG a structured approach to context-aware cybersecurity hint generation.pdf,5b5fc245a3cc90f72fef8e562da78db353095df97677b332e3e488a7a93c66c1,8
S003,S003__knowledge-graph-question-answering-for-materials-science-kgqa4mat-developing-natural-languag.json,aee3c50da45b427fb371a4362dae5947bbfefc180dc8b6ceca2b61c4b2305d16,6407,S003__knowledge-graph-question-answering-for-materials-science-kgqa4mat-developing-natural-languag.json,a05eea526034a4bb4c9826c86c11f7a4b329ac859fd02c01d21a86285ef3e7a0,5778,An et al. - 2024 - Knowledge graph question answering for materials science (KGQA4MAT).pdf,ea177adac699d8d0917ded51bf0079eceb072c88e9783d18ea4f72cb1df921a3,14
S004,S004__reasoning-and-justification-system-for-domestic-hazardous-behaviors-based-on-knowledge-graph.json,2b80d362f67351c196aec0550da3f985c74e544f5ed773c886a6fffec711f901,7866,S004__reasoning-and-justification-system-for-domestic-hazardous-behaviors-based-on-knowledge-graph.json,71124d90742bf7572f5e038541fcbc9da4e6396561d6e43a007d3d92d1a44d2f,7317,Anaguchi et al. - 2024 - Reasoning and justification system for domestic hazardous behaviors based on knowledge graph of dail.pdf,1f938da4bb3a7e17870528d133ec7f38b68f3a848b003ad64d873b1a562b6edf,10
S005,S005__neureg-neuro-symbolic-qa-generation-from-regulatory-compliance.json,f5da03cf8f6170069c2720b2f6ce7baeb8c60419eb8b07c4f6bb44ca76b93a2a,5746,S005__neureg-neuro-symbolic-qa-generation-from-regulatory-compliance.json,7abd8c56087e83bd2fe98e9fab735cb54d3f86f85ee2e43fef15363ae92e1a10,4895,Arshad et al. - 2025 - NeuReg neuro-symbolic QA generation from regulatory compliance.pdf,bbe5ebeab7c1670b220995c3403df65c2d56bf09948193cc7400e051d5b59aac,4
S006,S006__navigation-with-large-language-models-in-subject-domain-of-ordinary-differential-equation.json,3277d526e4ee678aec0bbe7ac52810e819990785fef2add6c9e54ac6636f5039,6377,S006__navigation-with-large-language-models-in-subject-domain-of-ordinary-differential-equation.json,97f8637069827659b130c77372932207e59353139cffa288b269190b95a9cf89,5620,Ataeva and Tuchkova - 2025 - Navigation with large language models in subject domain of ordinary differential equation.pdf,71ab636064fcabae5f75eb587d208779d803e8d508fb6171b3374e6dd0263ca0,13
S007,S007__domain-specific-retrieval-augmented-generation-using-vector-stores-knowledge-graphs-and-tens.json,7d76ff990289ee412c19526a2330b308e29896f277633b99792d8ea3cec6d95c,6453,S007__domain-specific-retrieval-augmented-generation-using-vector-stores-knowledge-graphs-and-tens.json,007facbe57fc64a90d3a9c2e0962cefa4da5c14aa8ecd5f6c8632a332a922d28,5621,"Barron et al. - 2024 - Domain-specific retrieval-augmented generation using vector stores, knowledge graphs, and tensor fac.pdf",b627d7358d97ec5430600fed782fba1b0d87c55143ea863c6d037fb018ca589f,8
S008,S008__logic-ontological-reconstruction-of-scientific-discourse-and-its-implementation-in-an-ai-bas.json,eebe390e21ffd61fba92b46fa3bd7a58008cd4f059ba64e7380e8d8abacf3241,6517,S008__logic-ontological-reconstruction-of-scientific-discourse-and-its-implementation-in-an-ai-bas.json,b79b86d7889f57bc7495baf4aec366424d78e7f14ba17c9a8338f9b1b968b288,5830,Bedratyuk - 2025 - Logic-ontological reconstruction of scientific discourse and its implementation in an ai-based revie.pdf,6b563de933e78f5a542f159ddcbbb5de32d729f357e32e8a5c1769d920c701cd,15
S009,S009__statistical-data-science-leveraging-survey-metadata-for-llm-reasoning-via-knowledge-graphs.json,908baaeaa80646722887ef84ece9420516e0b5093ecbe0d12b63a13da71dd3d8,6501,S009__statistical-data-science-leveraging-survey-metadata-for-llm-reasoning-via-knowledge-graphs.json,6cddb6bc6c9c6041e3c6c6c60a31908c981482147439568036beefb2ab414662,5786,Belyaeva et al. - 2026 - Leveraging survey metadata for LLM reasoning via knowledge graphs.pdf,4b9f5345cd6dc6de0b14c1dbb85bf513d0dc8c08fbf57d95c78d36a5305699bf,22
S010,S010__from-query-to-logic-ontology-driven-multi-hop-reasoning-in-llms.json,d02cbfe82d63c4be1e945dbe2efbdd8101b7ab0b4d03c38406a936f8ebcd1e23,6037,S010__from-query-to-logic-ontology-driven-multi-hop-reasoning-in-llms.json,ca3650e576215c789a3ef11fc55f28880c706f5e7b057be82aab0c22a7e4171a,5321,Bian et al. - 2025 - From query to logic ontology-driven multi-hop reasoning in LLMs.pdf,f08fcb0dfb552788013750abbfc84a45761b26dc502660e3308a71587fafe8a3,14
