study_id,paper_title,year,primary_tier,primary_domain_code,T1,T2,T3,T4,role_signature,roles,ontology_implementation_category,consensus_status
S001,Neural-Symbolic Fusion for Long-Form Narrative Generation: A Hierarchical Framework,2025,ANCHORED,C,1,0,1,1,1011,"T1,T3,T4",Ontology formalism unspecified,human_verified_consensus
S002,SLMs Meet GraphRAG: A Structured Approach to Context-Aware Cybersecurity Hint Generation,2026,CORE,Y,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S003,KNOWLEDGE GRAPH QUESTION ANSWERING FOR MATERIALS SCIENCE (KGQA4MAT): DEVELOPING NATURAL LANGUAGE INTERFACE FOR METAL-ORGANIC FRAMEWORKS KNOWLEDGE GRAPH (MOF-KG) USING LLM,2024,INTERFACE,M,1,1,0,0,1100,"T1,T2",RDF/SPARQL semantic web,human_verified_consensus
S004,Reasoning and Justification System for Domestic Hazardous Behaviors Based on Knowledge Graph of Daily Activities and Retrieval-Augmented Generation,2024,CORE,H,1,1,1,0,1110,"T1,T2,T3",No finer-grained operational detail,human_verified_consensus
S005,NeuReg: Neuro-Symbolic QA Generation from Regulatory Compliance,2025,ANCHORED,L,1,0,0,0,1000,T1,Ontology formalism unspecified,human_verified_consensus
S006,Navigation with Large Language Models in Subject Domain of Ordinary Differential Equation,2025,INTERFACE,E,1,1,0,1,1101,"T1,T2,T4",RDF/SPARQL semantic web,human_verified_consensus
S007,"Domain-Specific Retrieval-Augmented Generation Using Vector Stores, Knowledge Graphs, and Tensor Factorization",2024,CORE,G,1,1,0,0,1100,"T1,T2",No finer-grained operational detail,human_verified_consensus
S008,LOGIC-ONTOLOGICAL RECONSTRUCTION OF SCIENTIFIC DISCOURSE AND ITS IMPLEMENTATION IN AN AI-BASED REVIEWING SYSTEM,2025,ANCHORED,E,1,0,1,1,1011,"T1,T3,T4",Ontology formalism unspecified,human_verified_consensus
S009,Statistical Data Science Leveraging Survey Metadata for LLM Reasoning via Knowledge Graphs,2026,CORE,G,1,1,0,0,1100,"T1,T2",No finer-grained operational detail,human_verified_consensus
S010,From Query to Logic: Ontology-Driven Multi-Hop Reasoning in LLMs,2025,ANCHORED,E,1,0,1,0,1010,"T1,T3",Ontology formalism unspecified,human_verified_consensus
S011,Post-hoc Verification of LLMs with Knowledge Graphs for Medical Question Answering,2025,ANCHORED,H,1,0,0,1,1001,"T1,T4",Ontology formalism unspecified,human_verified_consensus
S012,RecipeMasterLLM: Revisiting RoboEarth in the Era of Large Language Models,2025,CORE,R,1,1,1,0,1110,"T1,T2,T3",Formal ontology/constraints,human_verified_consensus
S013,Generative Retrieval-Augmented Ontologic Graph and Multiagent Strategies for Interpretive Large Language Model-Based Materials Design,2024,CORE,M,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S014,"MechGPT, a language-based strategy for mechanics and materials modeling that connects knowledge across scales, disciplines and modalities",2024,WEAKER,M,1,0,0,0,1000,T1,No finer-grained operational detail,human_verified_consensus
S015,Ontology-Enriched Guidelines Retrieval for Complex Rheumatological Cases,2026,CORE,H,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S016,Reasoning with RAGged events: RAG-Enhanced Event Knowledge Base Construction and reasoning with proof-assistants,2025,ANCHORED,C,1,1,1,0,1110,"T1,T2,T3",RDF/SPARQL semantic web,human_verified_consensus
S017,Knowledge Pyramid Construction for Multi-Level Retrieval-Augmented Generation,2025,CORE,G,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S018,KG-SEA: A Self-Evolving Framework for Iterative Knowledge Graph Construction in Graph-RAG Systems,2025,CONSTRUCTION,G,1,0,0,0,1000,T1,Lightweight schema/taxonomy,human_verified_consensus
S019,Knowledge Graph Construction of Large Language Model Retrieval Augmented Generation for Oil and Gas HSE Professional Q&A System,2025,CORE,I,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S020,Construction and evaluation of the knowledge graph and large model question-answering system for Jin San Zhen therapy: a tool study for primary care and general practice,2026,CORE,H,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S021,Ontology-Driven Building Operating System Integrated with Large Language Models for Intuitive Building Operations,2025,INTERFACE,B,1,1,0,0,1100,"T1,T2",RDF/SPARQL semantic web,human_verified_consensus
S022,Cross Examine: An Ensemble-based approach to leverage Large Language Models for Legal Text Analytics,2024,CORE,L,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S023,Enhanced tracking and reporting of missing persons using Knowledge Graph and Ontology Engineering,2025,INTERFACE,L,1,1,0,0,1100,"T1,T2",RDF/SPARQL semantic web,human_verified_consensus
S024,TenderGraphRAG: An Enhancement Framework for Question Answering Systems Based on a Tendering and Bidding Knowledge Graph,2025,CORE,L,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S025,OntoLogX: Ontology-Guided Knowledge Graph Extraction from Cybersecurity Logs with Large Language Models,2025,CONSTRUCTION,Y,1,1,0,0,1100,"T1,T2",Formal ontology/constraints,human_verified_consensus
S026,Ontology Learning and Knowledge Graph Construction: A Comparison of Approaches and Their Impact on RAG Performance,2025,CONSTRUCTION,G,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S027,Neurosymbolic graph enrichment for Grounded World Models,2025,CONSTRUCTION,R,1,0,0,0,1000,T1,Formal ontology/constraints,human_verified_consensus
S028,"An Ontology-Driven Graph RAG for Legal Norms: A Structural, Temporal, and Deterministic Approach",2025,CORE,L,1,1,0,1,1101,"T1,T2,T4",Ontology formalism unspecified,human_verified_consensus
S029,Meaning Is All You Need: Moving From Token Prediction to Narrative Reasoning,2026,ANCHORED,C,1,0,1,0,1010,"T1,T3",Ontology formalism unspecified,human_verified_consensus
S030,Extracting core meaning from legal queries using semantic technologies,2025,INTERFACE,L,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S031,Ontology-grounded retrieval for auditable LLM-assisted secure code generation,2026,CORE,Y,1,1,0,1,1101,"T1,T2,T4",Ontology formalism unspecified,human_verified_consensus
S032,FAIR GraphRAG: A Retrieval-Augmented Generation Approach for Semantic Data Analysis,2025,CORE,H,1,1,0,0,1100,"T1,T2",RDF/SPARQL semantic web,human_verified_consensus
S033,WorldDB: A Vector Graph-of-Worlds Memory Engine with Ontology-Aware Write-Time Reconciliation,2026,ANCHORED,R,1,1,1,1,1111,"T1,T2,T3,T4",Ontology formalism unspecified,human_verified_consensus
S034,Design and Implementation of a Semiconductor Supply Chain Knowledge Graph for Developing a GraphRAG-Based Question Answering Model,2026,CORE,I,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S035,KOSMOS: Ontology-Based Knowledge Graph Scaffolding for Medical Documentation Generation,2026,ANCHORED,H,1,0,0,0,1000,T1,Ontology formalism unspecified,human_verified_consensus
S036,Knowledge Graph-Based Structural Safety Risk Diagnosis and Control of Prestressed Concrete Bridges,2026,CORE,B,1,1,0,0,1100,"T1,T2",Lightweight schema/taxonomy,human_verified_consensus
S037,On-Device Intent Reasoning for Smart Home Agents Via Ontology-Augmented sLLMs,2025,CORE,R,1,1,1,1,1111,"T1,T2,T3,T4",Lightweight schema/taxonomy,human_verified_consensus
S038,Enhancing LLM-based question answering through isolated contextual knowledge graphs,2026,CORE,G,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S039,Enhancing Patient Empowerment and Health Literacy: Integrating Knowledge Graphs with Language Models for Personalized Health Content Delivery,2024,CORE,H,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S040,"Integrating IoT, large language models, and knowledge graphs for future smart districts: A semantic approach for energy performance assessment",2025,CORE,B,1,1,0,0,1100,"T1,T2",RDF/SPARQL semantic web,human_verified_consensus
S041,Semantic Enrichment of the Quantum Cascade Laser Properties in Text- A Knowledge Graph Generation Approach,2024,CONSTRUCTION,M,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S042,From human experts to machines: An LLM supported approach to ontology and knowledge graph construction,2024,CONSTRUCTION,G,1,0,0,0,1000,T1,Formal ontology/constraints,human_verified_consensus
S043,NatureKG: an ontology and knowledge graph for nature finance with a Text2Cypher application,2025,INTERFACE,L,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S044,Building A Knowledge Graph to Enrich ChatGPT Responses in Manufacturing Service Discovery,2024,CORE,I,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S045,A Knowledge Graph and Large Language Model-based Question Answering System for Aviation Human Factors Safety Events,2025,CORE,B,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S046,Agentic-KGR: Co-evolutionary Knowledge Graph Construction through Multi-Agent Reinforcement Learning,2025,CONSTRUCTION,G,1,1,0,0,1100,"T1,T2",Lightweight schema/taxonomy,human_verified_consensus
S047,Artificial Intelligence Leading Traditional Chinese Medicine Higher Education Digitalization Development Strategy Research,2025,CORE,E,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S048,Integrating Graph Retrieval-Augmented Generation With Large Language Models for Supplier Discovery,2025,CORE,I,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S049,Research on the Construction and Application of a Water Conservancy Facility Safety Knowledge Graph Based on Large Language Models,2026,CONSTRUCTION,L,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S050,Distributed Incremental Ontology Reasoning over Dynamic T-boxes,2024,CONSTRUCTION,G,1,0,1,0,1010,"T1,T3",Formal ontology/constraints,human_verified_consensus
S051,Intelligent decision support for tunnel fire incidents: integrating dynamic knowledge graph with large language models,2026,CORE,B,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S052,Geospatial Question Answering on Historical Maps Using Spatio-Temporal Knowledge Graphs and Large Language Models,2025,INTERFACE,C,1,1,0,0,1100,"T1,T2",Formal ontology/constraints,human_verified_consensus
S053,"Enhancing Clinical Note Generation with ICD-10, Clinical Ontology Knowledge Graphs, and Chain-of-Thought Prompting Using GPT-4",2025,CORE,H,1,1,0,0,1100,"T1,T2",Formal ontology/constraints,human_verified_consensus
S055,Enhancing Vector based Retrieval Augmented Generation with Contextual Knowledge Graph Construction,2024,CONSTRUCTION,G,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S056,Enhancing Manufacturing Knowledge Access with LLMs and Context-Aware Prompting,2024,CORE,I,1,1,0,0,1100,"T1,T2",RDF/SPARQL semantic web,human_verified_consensus
S057,Retrieval-Augmented Generation of Ontologies from Relational Databases,2025,CONSTRUCTION,G,1,1,0,0,1100,"T1,T2",Lightweight schema/taxonomy,human_verified_consensus
S058,Formal Knowledge Augmented Language Models for Explainable and Robust Reasoning,2026,CORE,G,1,1,1,1,1111,"T1,T2,T3,T4",Ontology formalism unspecified,human_verified_consensus
S059,"Automatic Ontology Construction Using LLMs as an External Layer of Memory, Verification, and Planning for Hybrid Intelligent Systems",2026,CONSTRUCTION,G,1,1,1,1,1111,"T1,T2,T3,T4",Formal ontology/constraints,human_verified_consensus
S060,Large Language Models and Knowledge Graphs Synergistically Enhancing Personalized Learning,2025,ANCHORED,E,1,0,0,0,1000,T1,Ontology formalism unspecified,human_verified_consensus
S061,"A Hybrid Semantic Question Answering System for the History of Sumedang Larang: Integrating Retrieval-Augmented Generation, Knowledge Graph, and Ontology",2025,CORE,C,1,1,0,0,1100,"T1,T2",RDF/SPARQL semantic web,human_verified_consensus
S062,EvoRecipes: A Generative Approach for Evolving Context-Aware Recipes,2023,ANCHORED,M,1,0,0,0,1000,T1,RDF/SPARQL semantic web,human_verified_consensus
S063,Ensemble learning with RAG model to reduce redundant question topics in auto-generated exam questions,2025,CORE,E,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S064,Accelerating Manufacturing Scale-Up from Material Discovery Using Agentic Web Navigation and Retrieval-Augmented AI for Process Engineering Schematics Design,2025,CORE,M,1,1,0,0,1100,"T1,T2",Lightweight schema/taxonomy,human_verified_consensus
S065,Document-Level Relation Extraction with Ontology-Guided RAG,2025,CORE,G,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S066,Enhancing retrieval-augmented generation for interoperable industrial knowledge representation and inference toward cognitive digital twins,2025,CORE,I,1,1,0,0,1100,"T1,T2",No finer-grained operational detail,human_verified_consensus
S067,Leveraging Graph-RAG for Enhanced Diagnostic and Treatment Strategies in Dentistry,2024,CORE,H,1,1,0,0,1100,"T1,T2",Formal ontology/constraints,human_verified_consensus
S068,Agentic system for construction safety risk assessments using large language models and knowledge graphs,2026,CORE,L,1,1,0,0,1100,"T1,T2",RDF/SPARQL semantic web,human_verified_consensus
S069,AN INNOVATIVE APPROACH TO THE SEMANTIC INTEGRATION OF CONSTRUCTION AND SUSTAINABILITY INFORMATION USING GRAPHRAG,2025,CORE,B,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S070,KnowledgeHub: An End-to-End Tool for Assisted Scientific Discovery,2024,ANCHORED,E,1,0,0,0,1000,T1,Ontology formalism unspecified,human_verified_consensus
S071,The Construction and Application Practice of Course Knowledge Graph in Educational Digitalization,2025,CONSTRUCTION,E,1,0,0,1,1001,"T1,T4",Ontology formalism unspecified,human_verified_consensus
S072,OntoRAG: Enhancing Question-Answering through Automated Ontology Derivation from Unstructured Knowledge Bases,2025,CONSTRUCTION,G,1,0,0,0,1000,T1,Ontology formalism unspecified,human_verified_consensus
S073,Prompting large language models based on semantic schema for text-to-Cypher transformation towards domain Q&A,2025,INTERFACE,I,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S074,Retrieval-Augmented Question Answering System Based on Large Language Models and Knowledge Graphs,2025,CORE,H,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S075,Automated Construction of Medical Indicator Knowledge Graphs Using Retrieval Augmented Large Language Models,2025,CONSTRUCTION,H,1,0,0,0,1000,T1,Lightweight schema/taxonomy,human_verified_consensus
S076,LLM-Driven Multimodal Knowledge Graph Construction for Industrial Process With Prompt Optimization and Fuzzy RAG,2026,CONSTRUCTION,I,1,0,0,0,1000,T1,Ontology formalism unspecified,human_verified_consensus
S077,ChatTf: A Knowledge Graph-Enhanced Intelligent QA System for Mitigating Factuality Hallucinations in Traditional Folklore,2024,CORE,C,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S078,Multi-Agent OSINT Architecture with Graph RAG Integration and Hierarchical Bloom-Filter Deduplication,2025,CORE,Y,1,1,0,1,1101,"T1,T2,T4",Ontology formalism unspecified,human_verified_consensus
S079,Automatic Construction of Oilseed Rape Knowledge Graph Based on Large Language Models,2025,CONSTRUCTION,M,1,0,0,0,1000,T1,Lightweight schema/taxonomy,human_verified_consensus
S080,A Knowledge Graph and Large Language Model Framework for Customized Manufacturing: A Case Study in Furniture Panel Production,2026,CORE,I,1,1,0,0,1100,"T1,T2",RDF/SPARQL semantic web,human_verified_consensus
S081,Chemical process safety domain knowledge graph?enhanced LLM for efficient emergency response decision support,2025,CORE,I,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S082,Construction of a Multimodal Knowledge Graph for Power Grid Construction Safety Based on Large Language Models,2024,CONSTRUCTION,L,1,1,0,1,1101,"T1,T2,T4",Property-graph schema,human_verified_consensus
S083,A comprehensive framework for legal dispute analysis integrating prompt engineering and multi-dimens,2025,CORE,L,1,1,1,0,1110,"T1,T2,T3",Ontology formalism unspecified,human_verified_consensus
S084,AcuKG: a comprehensive knowledge graph for medical acupuncture,2025,CONSTRUCTION,H,1,1,0,0,1100,"T1,T2",Ontology formalism unspecified,human_verified_consensus
S085,Claim Knowledge Graph Construction and GraphRAG-Based Question-Answering System,2026,CORE,L,1,1,0,0,1100,"T1,T2",Property-graph schema,human_verified_consensus
S086,CTI-Thinker: an LLM-driven system for CTI knowledge graph construction and attack reasoning,2026,CORE,Y,1,1,1,0,1110,"T1,T2,T3",Ontology formalism unspecified,human_verified_consensus
S087,Domain-Specific Ontology Construction and LLMs Finetuning for Procurement Knowledge,2026,CONSTRUCTION,L,1,0,0,0,1000,T1,RDF/SPARQL semantic web,human_verified_consensus
